Chromosome,Position,Coverage
PV426769.1,217,232
PV426769.1,218,241
PV426769.1,219,244
PV426769.1,220,242
PV426769.1,221,238
PV426769.1,222,244
PV426769.1,223,246
PV426769.1,224,244
PV426769.1,225,247
PV426769.1,226,247
PV426769.1,227,245
PV426769.1,228,245
PV426769.1,229,244
PV426769.1,230,243
PV426769.1,231,245
PV426769.1,232,243
PV426769.1,233,245
PV426769.1,234,248
PV426769.1,235,249
PV426769.1,236,226
PV426769.1,237,239
PV426769.1,238,242
PV426769.1,239,245
PV426769.1,240,244
PV426769.1,241,242
PV426769.1,242,245
PV426769.1,243,241
PV426769.1,244,244
PV426769.1,245,243
PV426769.1,246,240
PV426769.1,247,241
PV426769.1,248,234
PV426769.1,249,242
PV426769.1,250,240
PV426769.1,251,240
PV426769.1,252,241
PV426769.1,253,240
PV426769.1,254,238
PV426769.1,255,243
PV426769.1,256,242
PV426769.1,257,239
PV426769.1,258,244
PV426769.1,259,244
PV426769.1,260,241
PV426769.1,261,245
PV426769.1,262,252
PV426769.1,263,251
PV426769.1,264,250
PV426769.1,265,253
PV426769.1,266,251
PV426769.1,267,250
PV426769.1,268,247
PV426769.1,269,249
PV426769.1,270,250
PV426769.1,271,244
PV426769.1,272,243
PV426769.1,273,248
PV426769.1,274,245
PV426769.1,275,244
PV426769.1,276,216
PV426769.1,277,241
PV426769.1,278,246
PV426769.1,279,247
PV426769.1,280,247
PV426769.1,281,243
PV426769.1,282,252
PV426769.1,283,253
PV426769.1,284,238
PV426769.1,285,239
PV426769.1,286,240
PV426769.1,287,256
PV426769.1,288,268
PV426769.1,289,263
PV426769.1,290,266
PV426769.1,291,267
PV426769.1,292,267
PV426769.1,293,271
PV426769.1,294,273
PV426769.1,295,272
PV426769.1,296,268
PV426769.1,297,270
PV426769.1,298,269
PV426769.1,299,273
PV426769.1,300,271
PV426769.1,301,261
PV426769.1,302,266
PV426769.1,303,265
PV426769.1,304,283
PV426769.1,305,284
PV426769.1,306,282
PV426769.1,307,282
PV426769.1,308,281
PV426769.1,309,282
PV426769.1,310,280
PV426769.1,311,284
PV426769.1,312,283
PV426769.1,313,283
PV426769.1,314,282
PV426769.1,315,282
PV426769.1,316,282
PV426769.1,317,282
PV426769.1,318,279
PV426769.1,319,279
PV426769.1,320,264
PV426769.1,321,276
PV426769.1,322,274
PV426769.1,323,275
PV426769.1,324,279
PV426769.1,325,247
PV426769.1,326,276
PV426769.1,327,279
PV426769.1,328,270
PV426769.1,329,284
PV426769.1,330,288
PV426769.1,331,301
PV426769.1,332,304
PV426769.1,333,305
PV426769.1,334,305
PV426769.1,335,283
PV426769.1,336,300
PV426769.1,337,303
PV426769.1,338,311
PV426769.1,339,310
PV426769.1,340,311
PV426769.1,341,312
PV426769.1,342,315
PV426769.1,343,301
PV426769.1,344,313
PV426769.1,345,309
PV426769.1,346,313
PV426769.1,347,309
PV426769.1,348,312
PV426769.1,349,298
PV426769.1,350,296
PV426769.1,351,286
PV426769.1,352,302
PV426769.1,353,312
PV426769.1,354,314
PV426769.1,355,314
PV426769.1,356,316
PV426769.1,357,313
PV426769.1,358,313
PV426769.1,359,316
PV426769.1,360,317
PV426769.1,361,310
PV426769.1,362,308
PV426769.1,363,317
PV426769.1,364,312
PV426769.1,365,313
PV426769.1,366,308
PV426769.1,367,300
PV426769.1,368,313
PV426769.1,369,314
PV426769.1,370,314
PV426769.1,371,311
PV426769.1,372,312
PV426769.1,373,305
PV426769.1,374,316
PV426769.1,375,319
PV426769.1,376,320
PV426769.1,377,320
PV426769.1,378,321
PV426769.1,379,310
PV426769.1,380,194
PV426769.1,381,288
PV426769.1,382,314
PV426769.1,383,315
PV426769.1,384,316
PV426769.1,385,314
PV426769.1,386,318
PV426769.1,387,309
PV426769.1,388,312
PV426769.1,389,306
PV426769.1,390,297
PV426769.1,391,307
PV426769.1,392,314
PV426769.1,393,312
PV426769.1,394,301
PV426769.1,395,309
PV426769.1,396,308
PV426769.1,397,312
PV426769.1,398,315
PV426769.1,399,314
PV426769.1,400,321
PV426769.1,401,320
PV426769.1,402,320
PV426769.1,403,314
PV426769.1,404,315
PV426769.1,405,295
PV426769.1,406,318
PV426769.1,407,314
PV426769.1,408,315
PV426769.1,409,316
PV426769.1,410,327
PV426769.1,411,331
PV426769.1,412,331
PV426769.1,413,333
PV426769.1,414,336
PV426769.1,415,335
PV426769.1,416,298
PV426769.1,417,330
PV426769.1,418,330
PV426769.1,419,327
PV426769.1,420,325
PV426769.1,421,320
PV426769.1,422,329
PV426769.1,423,325
PV426769.1,424,330
PV426769.1,425,326
PV426769.1,426,331
PV426769.1,427,338
PV426769.1,428,336
PV426769.1,429,337
PV426769.1,430,339
PV426769.1,431,333
PV426769.1,432,340
PV426769.1,433,333
PV426769.1,434,340
PV426769.1,435,340
PV426769.1,436,341
PV426769.1,437,341
PV426769.1,438,344
PV426769.1,439,343
PV426769.1,440,342
PV426769.1,441,346
PV426769.1,442,343
PV426769.1,443,321
PV426769.1,444,343
PV426769.1,445,349
PV426769.1,446,348
PV426769.1,447,348
PV426769.1,448,343
PV426769.1,449,338
PV426769.1,450,323
PV426769.1,451,346
PV426769.1,452,328
PV426769.1,453,334
PV426769.1,454,338
PV426769.1,455,335
PV426769.1,456,329
PV426769.1,457,339
PV426769.1,458,343
PV426769.1,459,342
PV426769.1,460,344
PV426769.1,461,339
PV426769.1,462,338
PV426769.1,463,338
PV426769.1,464,279
PV426769.1,465,316
PV426769.1,466,331
PV426769.1,467,335
PV426769.1,468,336
PV426769.1,469,331
PV426769.1,470,329
PV426769.1,471,335
PV426769.1,472,336
PV426769.1,473,336
PV426769.1,474,339
PV426769.1,475,290
PV426769.1,476,337
PV426769.1,477,338
PV426769.1,478,339
PV426769.1,479,337
PV426769.1,480,332
PV426769.1,481,310
PV426769.1,482,335
PV426769.1,483,327
PV426769.1,484,324
PV426769.1,485,325
PV426769.1,486,331
PV426769.1,487,329
PV426769.1,488,332
PV426769.1,489,315
PV426769.1,490,329
PV426769.1,491,332
PV426769.1,492,327
PV426769.1,493,330
PV426769.1,494,328
PV426769.1,495,330
PV426769.1,496,331
PV426769.1,497,327
PV426769.1,498,309
PV426769.1,499,281
PV426769.1,500,287
PV426769.1,501,284
PV426769.1,502,297
PV426769.1,503,298
PV426769.1,504,300
PV426769.1,505,306
PV426769.1,506,304
PV426769.1,507,305
PV426769.1,508,306
PV426769.1,509,306
PV426769.1,510,305
PV426769.1,511,281
PV426769.1,512,302
PV426769.1,513,305
PV426769.1,514,305
PV426769.1,515,301
PV426769.1,516,296
PV426769.1,517,290
PV426769.1,518,275
PV426769.1,519,288
PV426769.1,520,292
PV426769.1,521,287
PV426769.1,522,280
PV426769.1,523,284
PV426769.1,524,272
PV426769.1,525,249
PV426769.1,526,273
PV426769.1,527,280
PV426769.1,528,280
PV426769.1,529,281
PV426769.1,530,279
PV426769.1,531,286
PV426769.1,532,283
PV426769.1,533,275
PV426769.1,534,282
PV426769.1,535,208
PV426769.1,536,270
PV426769.1,537,281
PV426769.1,538,285
PV426769.1,539,284
PV426769.1,540,283
PV426769.1,541,282
PV426769.1,542,281
PV426769.1,543,280
PV426769.1,544,234
PV426769.1,545,262
PV426769.1,546,269
PV426769.1,547,269
PV426769.1,548,269
PV426769.1,549,254
PV426769.1,550,279
PV426769.1,551,284
PV426769.1,552,286
PV426769.1,553,291
PV426769.1,554,290
PV426769.1,555,291
PV426769.1,556,285
PV426769.1,557,294
PV426769.1,558,296
PV426769.1,559,292
PV426769.1,560,294
PV426769.1,561,283
PV426769.1,562,287
PV426769.1,563,294
PV426769.1,564,295
PV426769.1,565,295
PV426769.1,566,296
PV426769.1,567,296
PV426769.1,568,293
PV426769.1,569,297
PV426769.1,570,295
PV426769.1,571,293
PV426769.1,572,293
PV426769.1,573,294
PV426769.1,574,289
PV426769.1,575,297
PV426769.1,576,296
PV426769.1,577,295
PV426769.1,578,296
PV426769.1,579,298
PV426769.1,580,290
PV426769.1,581,296
PV426769.1,582,298
PV426769.1,583,297
PV426769.1,584,296
PV426769.1,585,289
PV426769.1,586,298
PV426769.1,587,296
PV426769.1,588,292
PV426769.1,589,286
PV426769.1,590,290
PV426769.1,591,294
PV426769.1,592,293
PV426769.1,593,290
PV426769.1,594,284
PV426769.1,595,273
PV426769.1,596,284
PV426769.1,597,283
PV426769.1,598,283
PV426769.1,599,277
PV426769.1,600,219
PV426769.1,601,272
PV426769.1,602,285
PV426769.1,603,285
PV426769.1,604,285
PV426769.1,605,287
PV426769.1,606,284
PV426769.1,607,286
PV426769.1,608,286
PV426769.1,609,287
PV426769.1,610,269
PV426769.1,611,274
PV426769.1,612,267
PV426769.1,613,248
PV426769.1,614,280
PV426769.1,615,283
PV426769.1,616,283
PV426769.1,617,283
PV426769.1,618,283
PV426769.1,619,286
PV426769.1,620,287
PV426769.1,621,281
PV426769.1,622,292
PV426769.1,623,293
PV426769.1,624,289
PV426769.1,625,293
PV426769.1,626,291
PV426769.1,627,286
PV426769.1,628,288
PV426769.1,629,292
PV426769.1,630,293
PV426769.1,631,293
PV426769.1,632,288
PV426769.1,633,286
PV426769.1,634,287
PV426769.1,635,287
PV426769.1,636,287
PV426769.1,637,288
PV426769.1,638,287
PV426769.1,639,288
PV426769.1,640,287
PV426769.1,641,288
PV426769.1,642,290
PV426769.1,643,290
PV426769.1,644,292
PV426769.1,645,292
PV426769.1,646,293
PV426769.1,647,272
PV426769.1,648,290
PV426769.1,649,295
PV426769.1,650,296
PV426769.1,651,291
PV426769.1,652,287
PV426769.1,653,287
PV426769.1,654,285
PV426769.1,655,285
PV426769.1,656,286
PV426769.1,657,288
PV426769.1,658,286
PV426769.1,659,285
PV426769.1,660,280
PV426769.1,661,278
PV426769.1,662,270
PV426769.1,663,270
PV426769.1,664,286
PV426769.1,665,288
PV426769.1,666,288
PV426769.1,667,291
PV426769.1,668,288
PV426769.1,669,286
PV426769.1,670,275
PV426769.1,671,265
PV426769.1,672,244
PV426769.1,673,286
PV426769.1,674,276
PV426769.1,675,269
PV426769.1,676,273
PV426769.1,677,280
PV426769.1,678,283
PV426769.1,679,282
PV426769.1,680,276
PV426769.1,681,279
PV426769.1,682,278
PV426769.1,683,248
PV426769.1,684,273
PV426769.1,685,269
PV426769.1,686,262
PV426769.1,687,261
PV426769.1,688,251
PV426769.1,689,266
PV426769.1,690,268
PV426769.1,691,263
PV426769.1,692,246
PV426769.1,693,260
PV426769.1,694,262
PV426769.1,695,249
PV426769.1,696,256
PV426769.1,697,253
PV426769.1,698,254
PV426769.1,699,254
PV426769.1,700,253
PV426769.1,701,256
PV426769.1,702,255
PV426769.1,703,252
PV426769.1,704,247
PV426769.1,705,239
PV426769.1,706,249
PV426769.1,707,245
PV426769.1,708,225
PV426769.1,709,247
PV426769.1,710,249
PV426769.1,711,247
PV426769.1,712,250
PV426769.1,713,249
PV426769.1,714,246
PV426769.1,715,248
PV426769.1,716,231
PV426769.1,717,244
PV426769.1,718,243
PV426769.1,719,250
PV426769.1,720,248
PV426769.1,721,251
PV426769.1,722,248
PV426769.1,723,247
PV426769.1,724,245
PV426769.1,725,247
PV426769.1,726,255
PV426769.1,727,252
PV426769.1,728,252
PV426769.1,729,239
PV426769.1,730,247
PV426769.1,731,244
PV426769.1,732,243
PV426769.1,733,244
PV426769.1,734,251
PV426769.1,735,248
PV426769.1,736,250
PV426769.1,737,252
PV426769.1,738,246
PV426769.1,739,246
PV426769.1,740,251
PV426769.1,741,246
PV426769.1,742,249
PV426769.1,743,245
PV426769.1,744,241
PV426769.1,745,243
PV426769.1,746,235
PV426769.1,747,243
PV426769.1,748,242
PV426769.1,749,245
PV426769.1,750,241
PV426769.1,751,240
PV426769.1,752,229
PV426769.1,753,242
PV426769.1,754,243
PV426769.1,755,246
PV426769.1,756,244
PV426769.1,757,246
PV426769.1,758,253
PV426769.1,759,256
PV426769.1,760,256
PV426769.1,761,252
PV426769.1,762,252
PV426769.1,763,251
PV426769.1,764,255
PV426769.1,765,255
PV426769.1,766,235
PV426769.1,767,239
PV426769.1,768,248
PV426769.1,769,246
PV426769.1,770,220
PV426769.1,771,226
PV426769.1,772,241
PV426769.1,773,246
PV426769.1,774,245
PV426769.1,775,247
PV426769.1,776,252
PV426769.1,777,250
PV426769.1,778,247
PV426769.1,779,233
PV426769.1,780,229
PV426769.1,781,244
PV426769.1,782,233
PV426769.1,783,252
PV426769.1,784,256
PV426769.1,785,254
PV426769.1,786,255
PV426769.1,787,245
PV426769.1,788,250
PV426769.1,789,249
PV426769.1,790,252
PV426769.1,791,223
PV426769.1,792,250
PV426769.1,793,253
PV426769.1,794,253
PV426769.1,795,250
PV426769.1,796,254
PV426769.1,797,238
PV426769.1,798,256
PV426769.1,799,258
PV426769.1,800,260
PV426769.1,801,258
PV426769.1,802,217
PV426769.1,803,260
PV426769.1,804,259
PV426769.1,805,259
PV426769.1,806,258
PV426769.1,807,254
PV426769.1,808,201
PV426769.1,809,247
PV426769.1,810,262
PV426769.1,811,258
PV426769.1,812,257
PV426769.1,813,254
PV426769.1,814,255
PV426769.1,815,255
PV426769.1,816,253
PV426769.1,817,250
PV426769.1,818,256
PV426769.1,819,256
PV426769.1,820,253
PV426769.1,821,256
PV426769.1,822,259
PV426769.1,823,260
PV426769.1,824,260
PV426769.1,825,255
PV426769.1,826,235
PV426769.1,827,254
PV426769.1,828,264
PV426769.1,829,258
PV426769.1,830,255
PV426769.1,831,262
PV426769.1,832,263
PV426769.1,833,265
PV426769.1,834,262
PV426769.1,835,256
PV426769.1,836,258
PV426769.1,837,256
PV426769.1,838,263
PV426769.1,839,253
PV426769.1,840,254
PV426769.1,841,262
PV426769.1,842,264
PV426769.1,843,267
PV426769.1,844,263
PV426769.1,845,257
PV426769.1,846,260
PV426769.1,847,258
PV426769.1,848,256
PV426769.1,849,261
PV426769.1,850,258
PV426769.1,851,263
PV426769.1,852,263
PV426769.1,853,262
PV426769.1,854,264
PV426769.1,855,264
PV426769.1,856,243
PV426769.1,857,263
PV426769.1,858,263
PV426769.1,859,260
PV426769.1,860,261
PV426769.1,861,260
PV426769.1,862,261
PV426769.1,863,253
PV426769.1,864,260
PV426769.1,865,260
PV426769.1,866,254
PV426769.1,867,251
PV426769.1,868,262
PV426769.1,869,260
PV426769.1,870,260
PV426769.1,871,256
PV426769.1,872,260
PV426769.1,873,261
PV426769.1,874,257
PV426769.1,875,258
PV426769.1,876,254
PV426769.1,877,257
PV426769.1,878,249
PV426769.1,879,257
PV426769.1,880,256
PV426769.1,881,254
PV426769.1,882,253
PV426769.1,883,254
PV426769.1,884,257
PV426769.1,885,261
PV426769.1,886,259
PV426769.1,887,260
PV426769.1,888,261
PV426769.1,889,256
PV426769.1,890,244
PV426769.1,891,240
PV426769.1,892,256
PV426769.1,893,246
PV426769.1,894,257
PV426769.1,895,249
PV426769.1,896,240
PV426769.1,897,247
PV426769.1,898,250
PV426769.1,899,256
PV426769.1,900,254
PV426769.1,901,248
PV426769.1,902,259
PV426769.1,903,257
PV426769.1,904,256
PV426769.1,905,264
PV426769.1,906,263
PV426769.1,907,260
PV426769.1,908,254
PV426769.1,909,256
PV426769.1,910,255
PV426769.1,911,254
PV426769.1,912,257
PV426769.1,913,254
PV426769.1,914,254
PV426769.1,915,249
PV426769.1,916,252
PV426769.1,917,251
PV426769.1,918,176
PV426769.1,919,201
PV426769.1,920,247
PV426769.1,921,254
PV426769.1,922,253
PV426769.1,923,252
PV426769.1,924,254
PV426769.1,925,253
PV426769.1,926,254
PV426769.1,927,253
PV426769.1,928,250
PV426769.1,929,256
PV426769.1,930,256
PV426769.1,931,256
PV426769.1,932,256
PV426769.1,933,255
PV426769.1,934,244
PV426769.1,935,250
PV426769.1,936,246
PV426769.1,937,252
PV426769.1,938,250
PV426769.1,939,250
PV426769.1,940,241
PV426769.1,941,211
PV426769.1,942,236
PV426769.1,943,238
PV426769.1,944,224
PV426769.1,945,236
PV426769.1,946,238
PV426769.1,947,230
PV426769.1,948,231
PV426769.1,949,231
PV426769.1,950,217
PV426769.1,951,229
PV426769.1,952,235
PV426769.1,953,236
PV426769.1,954,237
PV426769.1,955,238
PV426769.1,956,203
PV426769.1,957,238
PV426769.1,958,246
PV426769.1,959,248
PV426769.1,960,245
PV426769.1,961,246
PV426769.1,962,217
PV426769.1,963,248
PV426769.1,964,246
PV426769.1,965,247
PV426769.1,966,257
PV426769.1,967,257
PV426769.1,968,257
PV426769.1,969,253
PV426769.1,970,257
PV426769.1,971,234
PV426769.1,972,254
PV426769.1,973,252
PV426769.1,974,263
PV426769.1,975,263
PV426769.1,976,262
PV426769.1,977,258
PV426769.1,978,254
PV426769.1,979,248
PV426769.1,980,249
PV426769.1,981,249
PV426769.1,982,259
PV426769.1,983,269
PV426769.1,984,273
PV426769.1,985,275
PV426769.1,986,275
PV426769.1,987,275
PV426769.1,988,271
PV426769.1,989,266
PV426769.1,990,270
PV426769.1,991,273
PV426769.1,992,274
PV426769.1,993,273
PV426769.1,994,270
PV426769.1,995,274
PV426769.1,996,288
PV426769.1,997,288
PV426769.1,998,291
PV426769.1,999,286
PV426769.1,1000,287
PV426769.1,1001,264
PV426769.1,1002,285
PV426769.1,1003,290
PV426769.1,1004,291
PV426769.1,1005,292
PV426769.1,1006,290
PV426769.1,1007,287
PV426769.1,1008,287
PV426769.1,1009,286
PV426769.1,1010,289
PV426769.1,1011,286
PV426769.1,1012,285
PV426769.1,1013,288
PV426769.1,1014,280
PV426769.1,1015,275
PV426769.1,1016,279
PV426769.1,1017,289
PV426769.1,1018,289
PV426769.1,1019,291
PV426769.1,1020,285
PV426769.1,1021,291
PV426769.1,1022,289
PV426769.1,1023,274
PV426769.1,1024,289
PV426769.1,1025,288
PV426769.1,1026,291
PV426769.1,1027,289
PV426769.1,1028,289
PV426769.1,1029,286
PV426769.1,1030,282
PV426769.1,1031,287
PV426769.1,1032,289
PV426769.1,1033,289
PV426769.1,1034,291
PV426769.1,1035,290
PV426769.1,1036,289
PV426769.1,1037,290
PV426769.1,1038,296
PV426769.1,1039,293
PV426769.1,1040,294
PV426769.1,1041,292
PV426769.1,1042,287
PV426769.1,1043,290
PV426769.1,1044,290
PV426769.1,1045,272
PV426769.1,1046,282
PV426769.1,1047,285
PV426769.1,1048,281
PV426769.1,1049,291
PV426769.1,1050,286
PV426769.1,1051,287
PV426769.1,1052,285
PV426769.1,1053,258
PV426769.1,1054,275
PV426769.1,1055,278
PV426769.1,1056,264
PV426769.1,1057,285
PV426769.1,1058,290
PV426769.1,1059,290
PV426769.1,1060,270
PV426769.1,1061,289
PV426769.1,1062,295
PV426769.1,1063,294
PV426769.1,1064,291
PV426769.1,1065,287
PV426769.1,1066,289
PV426769.1,1067,292
PV426769.1,1068,292
PV426769.1,1069,279
PV426769.1,1070,279
PV426769.1,1071,275
PV426769.1,1072,285
PV426769.1,1073,284
PV426769.1,1074,280
PV426769.1,1075,272
PV426769.1,1076,281
PV426769.1,1077,276
PV426769.1,1078,283
PV426769.1,1079,274
PV426769.1,1080,285
PV426769.1,1081,283
PV426769.1,1082,283
PV426769.1,1083,279
PV426769.1,1084,276
PV426769.1,1085,281
PV426769.1,1086,283
PV426769.1,1087,245
PV426769.1,1088,277
PV426769.1,1089,282
PV426769.1,1090,283
PV426769.1,1091,283
PV426769.1,1092,282
PV426769.1,1093,281
PV426769.1,1094,275
PV426769.1,1095,279
PV426769.1,1096,275
PV426769.1,1097,266
PV426769.1,1098,271
PV426769.1,1099,273
PV426769.1,1100,275
PV426769.1,1101,272
PV426769.1,1102,271
PV426769.1,1103,262
PV426769.1,1104,240
PV426769.1,1105,269
PV426769.1,1106,275
PV426769.1,1107,273
PV426769.1,1108,281
PV426769.1,1109,273
PV426769.1,1110,269
PV426769.1,1111,274
PV426769.1,1112,277
PV426769.1,1113,282
PV426769.1,1114,280
PV426769.1,1115,285
PV426769.1,1116,286
PV426769.1,1117,273
PV426769.1,1118,289
PV426769.1,1119,292
PV426769.1,1120,295
PV426769.1,1121,295
PV426769.1,1122,294
PV426769.1,1123,293
PV426769.1,1124,299
PV426769.1,1125,297
PV426769.1,1126,292
PV426769.1,1127,300
PV426769.1,1128,297
PV426769.1,1129,296
PV426769.1,1130,284
PV426769.1,1131,301
PV426769.1,1132,297
PV426769.1,1133,300
PV426769.1,1134,297
PV426769.1,1135,291
PV426769.1,1136,298
PV426769.1,1137,300
PV426769.1,1138,294
PV426769.1,1139,301
PV426769.1,1140,299
PV426769.1,1141,296
PV426769.1,1142,283
PV426769.1,1143,297
PV426769.1,1144,299
PV426769.1,1145,297
PV426769.1,1146,295
PV426769.1,1147,300
PV426769.1,1148,299
PV426769.1,1149,284
PV426769.1,1150,294
PV426769.1,1151,300
PV426769.1,1152,299
PV426769.1,1153,290
PV426769.1,1154,265
PV426769.1,1155,219
PV426769.1,1156,207
PV426769.1,1157,23
PV426769.1,1158,6
PV426769.1,1159,4
PV426769.1,1160,6
PV426769.1,1161,91
PV426769.1,1162,22
PV426769.1,1163,159
PV426769.1,1164,251
PV426769.1,1165,293
PV426769.1,1166,300
PV426769.1,1167,299
PV426769.1,1168,299
PV426769.1,1169,299
PV426769.1,1170,295
PV426769.1,1171,283
PV426769.1,1172,290
PV426769.1,1173,307
PV426769.1,1174,308
PV426769.1,1175,308
PV426769.1,1176,307
PV426769.1,1177,307
PV426769.1,1178,292
PV426769.1,1179,303
PV426769.1,1180,306
PV426769.1,1181,304
PV426769.1,1182,301
PV426769.1,1183,304
PV426769.1,1184,282
PV426769.1,1185,297
PV426769.1,1186,294
PV426769.1,1187,302
PV426769.1,1188,303
PV426769.1,1189,300
PV426769.1,1190,299
PV426769.1,1191,307
PV426769.1,1192,318
PV426769.1,1193,317
PV426769.1,1194,311
PV426769.1,1195,299
PV426769.1,1196,285
PV426769.1,1197,310
PV426769.1,1198,314
PV426769.1,1199,303
PV426769.1,1200,318
PV426769.1,1201,313
PV426769.1,1202,310
PV426769.1,1203,314
PV426769.1,1204,312
PV426769.1,1205,311
PV426769.1,1206,315
PV426769.1,1207,314
PV426769.1,1208,310
PV426769.1,1209,304
PV426769.1,1210,313
PV426769.1,1211,308
PV426769.1,1212,303
PV426769.1,1213,306
PV426769.1,1214,300
PV426769.1,1215,302
PV426769.1,1216,288
PV426769.1,1217,308
PV426769.1,1218,309
PV426769.1,1219,307
PV426769.1,1220,295
PV426769.1,1221,307
PV426769.1,1222,303
PV426769.1,1223,302
PV426769.1,1224,307
PV426769.1,1225,305
PV426769.1,1226,309
PV426769.1,1227,306
PV426769.1,1228,309
PV426769.1,1229,297
PV426769.1,1230,310
PV426769.1,1231,309
PV426769.1,1232,305
PV426769.1,1233,308
PV426769.1,1234,304
PV426769.1,1235,309
PV426769.1,1236,309
PV426769.1,1237,308
PV426769.1,1238,307
PV426769.1,1239,307
PV426769.1,1240,304
PV426769.1,1241,298
PV426769.1,1242,303
PV426769.1,1243,296
PV426769.1,1244,290
PV426769.1,1245,309
PV426769.1,1246,313
PV426769.1,1247,312
